Name: Ryzen7 || Price: 582 || Year: 2018 || Frequency: 3.5 GHz || Temperature: 84.82
Name: i10 || Price: 381 || Year: 2020 || Frequency: 3.5 GHz || Temperature: 54.31
Name: Ryzen5 || Price: 397 || Year: 2019 || Frequency: 3.5 GHz || Temperature: 52.35
Name: i10 || Price: 198 || Year: 2022 || Frequency: 4 GHz || Temperature: 50.86
Name: Ryzen9 || Price: 305 || Year: 2020 || Frequency: 4.5 GHz || Temperature: 49.72
Name: Ryzen7 || Price: 328 || Year: 2022 || Frequency: 4.5 GHz || Temperature: 48.48
Name: i5 || Price: 496 || Year: 2022 || Frequency: 4 GHz || Temperature: 48.3
Name: i5 || Price: 435 || Year: 2022 || Frequency: 3.5 GHz || Temperature: 48.22
Name: i5 || Price: 349 || Year: 2019 || Frequency: 5 GHz || Temperature: 47.54
Name: i10 || Price: 154 || Year: 2020 || Frequency: 4 GHz || Temperature: 47.5
Name: i10 || Price: 333 || Year: 2022 || Frequency: 4 GHz || Temperature: 47.4
Name: i9 || Price: 308 || Year: 2021 || Frequency: 3.5 GHz || Temperature: 45.86
Name: i5 || Price: 384 || Year: 2019 || Frequency: 4 GHz || Temperature: 45.66
Name: i10 || Price: 107 || Year: 2021 || Frequency: 4 GHz || Temperature: 45.12
Name: i3 || Price: 322 || Year: 2022 || Frequency: 4 GHz || Temperature: 44.92
Name: Ryzen5 || Price: 434 || Year: 2018 || Frequency: 4 GHz || Temperature: 44.42
Name: Ryzen5 || Price: 540 || Year: 2018 || Frequency: 3.5 GHz || Temperature: 44.16
Name: i10 || Price: 349 || Year: 2018 || Frequency: 5 GHz || Temperature: 43.66
Name: i10 || Price: 533 || Year: 2019 || Frequency: 4 GHz || Temperature: 43.51
Name: Ryzen5 || Price: 583 || Year: 2022 || Frequency: 5 GHz || Temperature: 42.74
Name: Ryzen5 || Price: 328 || Year: 2020 || Frequency: 4.5 GHz || Temperature: 42.7
Name: i9 || Price: 390 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 41.57
Name: Ryzen9 || Price: 171 || Year: 2018 || Frequency: 5 GHz || Temperature: 40.47
Name: i5 || Price: 139 || Year: 2020 || Frequency: 3.5 GHz || Temperature: 40.16
Name: i3 || Price: 383 || Year: 2022 || Frequency: 4 GHz || Temperature: 38.94
Name: i5 || Price: 126 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 38.89
Name: Ryzen7 || Price: 406 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 38.23
Name: Ryzen5 || Price: 356 || Year: 2022 || Frequency: 3.5 GHz || Temperature: 37.92
Name: Ryzen9 || Price: 276 || Year: 2019 || Frequency: 4 GHz || Temperature: 36.55
Name: Ryzen5 || Price: 413 || Year: 2019 || Frequency: 5 GHz || Temperature: 35.97
Name: Ryzen5 || Price: 578 || Year: 2023 || Frequency: 5 GHz || Temperature: 35.43
Name: i9 || Price: 366 || Year: 2019 || Frequency: 4 GHz || Temperature: 34.74
Name: i5 || Price: 331 || Year: 2023 || Frequency: 4 GHz || Temperature: 34.74
Name: i3 || Price: 330 || Year: 2023 || Frequency: 4 GHz || Temperature: 34.66
Name: i10 || Price: 447 || Year: 2023 || Frequency: 4.5 GHz || Temperature: 34.17
Name: i10 || Price: 585 || Year: 2020 || Frequency: 4 GHz || Temperature: 34.15
Name: Ryzen7 || Price: 158 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 33.52
Name: i3 || Price: 563 || Year: 2020 || Frequency: 5 GHz || Temperature: 32.65
Name: i5 || Price: 240 || Year: 2018 || Frequency: 5 GHz || Temperature: 31.67
Name: Ryzen9 || Price: 561 || Year: 2023 || Frequency: 3.5 GHz || Temperature: 31.5
Name: Ryzen9 || Price: 356 || Year: 2019 || Frequency: 3.5 GHz || Temperature: 30.65
Name: Ryzen5 || Price: 131 || Year: 2019 || Frequency: 4.5 GHz || Temperature: 30.04
